Boards,Valor
BOARD ASUS H81M-K  1150 ,198000
BOARD GIGABYTE H110M-H LGA 1151,240000
BOARD ASUS H110M-E LGA1151,240000
BOARD GIGABYTE B250M-DS3H,320000
BOARD MSI H270 PC MATE DDR4/HDMI/DVI/7Th & 6Th GENER 1151,395000
BOARD ASUS STRIX B250G GAMING DDR4/LGA 1151 7GEN,425000
BOARD GIGABITE Z270-HD3 LGA1151,512000
Procesadores Intel,Valor
INTEL CELERON G1820 2.7GHZ/2.0MB CAC. Socket 1150 4TA GEN,150000
INTEL CELERON G-3930 SOCKET 1151 ,173000
INTEL PENTIUM DUAL CORE G-4400 LGA1151,235000
INTEL CORE I3 4170 3.6GHZ/3.0MB CACHE Soket 1150 4TA GEN,432000
INTEL CORE i3-7100 7a Generacion,420000
INTEL CORE i 5-7400 3.0GHZ 3 megas cache 7a generacion,670000
INTEL CORE i7-7700/3.6 GHz 1151 7a Generacion,1120000
INTEL CORE i7-7700K/4.5 GHz 1151 7a Generacion,1268000
Board / Procesadores Amd,Valor
BOARD ASUS M5A78L-M PLUS AMD,245000
PROCESADOR AMD FX 6300 3.5 Ghz,338000
Board / Procesadores Amd Ryzen,Valor
BOARD MSI B350 GAMING PRO,347000
BOARD MSI B350 TOMAHWK,420000
BOARD MSI B350 TOMAHWK ARTIC,455000
BOARD MSI X370 GAMING PLUS,465000
BOARD MSI X370 GAMING PRO,554000
BOARD MSI X370  GAMING PRO CARBON,685000
BOARD ELITEGROUP A320,235000
BOOARD ASUS PRIME B350 PLUS,398000
BOARD ASUS PRIME X370A / LGA 1151,565000
PROCESADOR AMD RYZEN R5-1400 AM4 CORE4 3.2GHz,627000
PROCESADOR AMD RYZEN R5-1500X AM4 CORE4 3.5GHz,698000
PROCESADOR AMD RYZEN R5-1600 AM4 CORE6 3.2GHz,760000
PROCESADIR AMD RYZEN R7-1700 AM4 CORE8 3GHz ,1135000
Disco duro PC,Valor
DISCO DE 1 TB SATA TOSHIBA (1 ANNO DE GARANTIA),198000
DISCO DE 2 TB SATA HITACHI ,195000
DISCO DE 2 TB SATA TOSHIBA (1 ANNO DE GARANTIA),310000
DISCO DE 2 TB SATA WESTER BLUE (1 ANNO DE GARANTIA),298000
DISCO DE 2 TB SATA WESTER PURPLE (1 ANNO DE GARANTIA),320000
DISCO DE 3 TB SATA TOSHIBA (1 ANNO DE GARANTIA),390000
DISCO DE 4 TB SATA WESTER PURPLE (1 ANNO DE GARANTIA),525000
DISCO DE 6 TB SATA WESTER PURPLE (1 ANNO DE GARANTIA),798000
Disco duro Portatil,Valor
DISCO DE 500GB SATA PARA PORTATIL,180000
DISCO DE 1.0TB SATA PARA PORTATIL,218000
Discos Solidos,Valor
DISCO SOLIDO DE 120GB ADATA,210000
DISCO SOLIDO DE 240GB ADATA,330000
DISCO SOLIDO DE 480GB ADATA,590000
DISCO SOLIDO DE 480GB KINSTONG,600000
DISCO SOLIDO DE 512GB ADATA,720000
Disco duro Externo,Valor
DISCO EXTERNO DE 1 TB 3.0 ANTIGOLPES ADATA ,240000
DISCO EXTERNO DE 1 TB 3.0 TOSHIBA,245000
DISCO EXTERNO DE 2 TB 3.0 TOSHIBA,315000
DISCO EXTERNO DE 2 TB 3.0 ANTIGOLPES 720,370000
